BUSINESS ADMINISTRATION CORE EXAM,Text,A.,B.,C.,D.,Answer,Why,isSelected,Selected Letter
1,What is created when the U.S. Supreme Court rules that a business activity is unconstitutional?,Federal agency,Common law,State law,International law,B,"Common law. Common law is law created by court decisions rather than through written legislation.  Since there are no courts that can overrule the U.S. Supreme Court, its decisions have the force of law,  including when it rules that a business activity is unconstitutional. This example does not depict the  creation of a federal agency, state law, or international law.",false,
2,A good way to determine the most relevant information in a textbook is by,scanning the glossary that is located in the back of the textbook.,taking detailed notes on each example provided in the textbook.,reading the review questions at the end of each chapter or section.,memorizing each section's titles and subtitles.,C,"Reading the review questions at the end of each chapter or section. When reading a textbook, it is helpful  to review the questions at the end of the chapter because the review questions' answers typically indicate  the most relevant information or key points covered in the chapter or section. Taking detailed notes about  each example in the text is not feasible and may not be helpful in identifying the most important  information. The glossary defines key terms; however, the glossary does not put the terms in the context  needed to understand the text as a whole. Titles and subtitles describe the topics that are to be covered  in the text but do not provide detailed information that might be relevant.",false,
3,Which of the following statements regarding company policies is true:,Company policies identify very specific employee actions.,Company policies and procedures are the same thing.,Company policies describe emergency measures.,Company policies identify general company rules.,D,"Company policies identify general company rules. Company policies are rules made in advance by  management to assist employees in decision-making. They are typically general rather than specific in  nature and relate to the company's overall vision. Company policies also describe to whom the rules  apply and why they exist. Company policies and procedures are not the same; company procedures  provide more detailed step-by-step plans of how to carry out policies and processes. Company  procedures identify very specific employee actions, such as what to do in the event of an emergency.",false,
4,Which of the following is a rule of good listening:,Be thinking about what you will say next.,Eliminate background noise.,Listen with empathy.,Stand as close as possible to the speaker.,C,"Listen with empathy. Empathy is the ability to put oneself in another person's place. Listening with  empathy helps the listener understand the speaker's point of view. You should stand a reasonable  distance from the speaker. Standing too close may be interpreted as aggressiveness. If you are thinking  about what you will say next, you may not hear everything that the speaker says. Background noise  exists in all environments and cannot be eliminated.",false,
5,Matt works in customer service and often has to deal with customer inquiries. Which of the following  should he do if he wants to respond in an appropriate way:,Act disinterested while the customer is asking a question.,"Answer the question immediately, even if he doesn't know the answer for sure.","Pay close attention to the question and ask for clarification, if needed.",Spend as much time talking to and answering the customer as possible.,C,"Pay close attention to the question and ask for clarification, if needed. When answering inquiries, it's  important to pay close attention to the question. If Matt wants to offer great customer service, he should  be sure to ask for clarification, if necessary. He should not answer the question if he doesn't know the  answer. He should show the customer that he is interested in his/her question. He shouldn't spend more  time than necessary answering customer questions—it's important to be concise when answering  inquiries.",false,
6,What communication style is most appropriate to use when you are providing a friend with personal  advice?,Empathic,Formal,Judgmental,Businesslike,A,"Empathic. Being empathic is acting according to an intellectual identification with the thoughts, feelings,  values, attitudes, and/or actions of another person. It is often helpful to imagine yourself in your friend's  place, to try to understand how s/he feels. By doing so, you often gain insight and can better help your  friend by providing thoughtful advice. If you are too formal, judgmental, or businesslike with a friend, you  may come across as uncaring, and you may offend your friend.",false,
7,Which of the following is a true statement about listening skills while handling telephone calls:,"If you listen very carefully, you will not have to ask questions.",It is easy to listen while carrying on other activities.,Listening is a natural skill that doesn't require practice.,Being a good listener requires active-listening skills.,D,"Being a good listener requires active-listening skills. To be a good listener while handling telephone calls,  you need to learn to shut out distractions, put aside what you are working on, and focus on what the  speaker is saying. This is not a natural skill, but it is one that can be learned through practice. There will  still be times when, no matter how carefully you listen, you will have to ask questions.",false,
8,"When Dale is taking notes during a staff meeting, he should",avoid abbreviations and symbols.,write his notes in complete sentences.,capture every word that is said.,organize his notes in a logical manner.,D,"Organize his notes in a logical manner. Effective note-taking is essential in school as well as on the job.  Regardless of whether you are in a university lecture hall or in a staff meeting, taking notes helps you  better remember important information and record facts, figures, and other details that may not be  available elsewhere. Notes that are organized in a logical manner are much clearer, more  understandable, and easier to read than notes that follow no form at all. When taking notes, it is not  necessary to capture every word that is said. Instead, you should focus on the main points and subpoints  of the conversation. It is also not necessary to write notes in complete sentences. To save time and  space, you should use abbreviations and symbols whenever appropriate.",false,
9,Which of the following is a guideline for developing effective written communication:,Be thorough.,Be repetitious.,Be wordy.,Be trite.,A,"Be thorough. Effective written communication must be thorough and contain all the information necessary  for the recipient to respond or react. Effective written communication answers the questions of who, what,  when, where, why, and how. Recipients of effective written communication will understand exactly what  the senders are trying to convey. Effective written communication should not be repetitious, wordy, or  trite.",false,
10,Which of the following is a formatting characteristic of a full-block business letter:,Double-spacing within the paragraph,No paragraph indents,Indented first paragraph,Paragraphs use right justification,B,"No paragraph indents. Many businesses use the full-block method to format business letters. All  components of the letter (date, address, greeting, body, closing, signature block) use left justification,  which means all text is aligned on the left margin. Writers using the full-block format do not indent the first  sentence of each paragraph. Other formatting characteristics of full-block letters are the use of single-  spacing within the paragraphs and the use of double-spacing between the paragraphs.",false,
11,One principle of good business-letter writing is to use,popular clichés.,long paragraphs.,clear language.,minimum organization.,C,"Clear language. A good business letter should present a message in plain language that is clear and  easy to understand. The message should be well organized so that it follows a logical sequence. A  combination of long and short paragraphs is more effective than a series of long paragraphs. Popular  clichés, catchy phrases, and slang are inappropriate in business letters.",false,
12,What is an example of a written business inquiry?,A form describing an employee's performance review,A memo outlining an upcoming meeting agenda,An email requesting vendor pricing and discounts,A report summarizing annual financial information,C,"An email requesting vendor pricing and discounts. An inquiry is a request for information. Businesses  often send emails requesting information from other businesses. Some requests might include product  pricing, membership eligibility, or shipping dates. A performance review, meeting agenda, and financial  report provide business information. The information is not an inquiry unless someone asks for  something.",false,
13,A person who publicly tweets negative comments about his/her company is most likely to be,prosecuted.,laughed at.,promoted.,fired.,D,"Fired. An individual's ""personal brand"" on social media can either positively or negatively influence a  company and its ability to achieve its organizational goals. If an individual publicly tweets negative  comments about his/her company, s/he is likely to be fired, not promoted. Employees serve as unofficial  brand ambassadors for their companies, so it is important that they represent their company well at all  times—even online. An individual who publicly tweets negative comments about his/her company may be  laughed at, but it is more likely that s/he would be fired. It is unlikely that an employee would be  prosecuted for publicly tweeting negative comments about his/her company, since this behavior is  protected under free speech laws.",false,
14,Penelope wants to use an interactive channel to communicate with her employees. Which channel of  communication should she choose?,A phone call,A voice mail,A letter,A report,A,"A phone call. Interactive communication goes two ways. There is a back-and-forth conversation involved,  like on a phone call. Voice mails, letters, and reports are considered static communication because they  do not involve interaction. If Penelope wants to use an interactive channel of communication, she should  call her employees. She might also consider talking to them in person.",false,
15,"When participating in staff meetings, business employees should be prepared to",remain silent.,join in the discussion.,comment on every detail.,argue.,B,"Join in the discussion. For staff meetings to be effective, all employees should participate in the  discussion. The purpose of staff meetings usually is to discuss issues that are of importance to the  business, or to solve problems. Therefore, employees should join in the discussion rather than remain  silent because their ideas and opinions are valuable. Employees should not comment on every detail.  Employees should adequately explain their ideas, but it is not effective to start an argument with those  who disagree.",false,
16,A disadvantage of problem-solving in groups is that it,decreases risk-taking.,decreases conformity.,takes more time.,hinders communication.,C,"Takes more time. Group problem-solving takes more time than individual problem-solving because of  conflicting schedules, differing opinions, and more discussion. Group problem-solving increases  conformity and risk-taking, rather than decreasing them. Finally, group problem-solving increases  communication rather than hindering it.",false,
17,"As employees go about their daily activities, their actions should be driven by whether the actions will",result in additional sales.,result in customer satisfaction.,bring them personal fulfillment.,be witnessed by customers.,B,"Result in customer satisfaction. Making customers feel important is a goal of demonstrating a customer  service mindset. Customers should feel welcome and that their satisfaction is important to everyone  concerned. By focusing on the customers' needs, employees can increase sales and, in most cases,  bring themselves personal fulfillment. The customer service mindset should be practiced by all  employees regardless of whether employees have direct contact with customers.",false,
18,What are businesspeople who fail to adapt their communication styles to appeal to their international  clients likely to do?,Earn the clients' trust,Offend the clients,Impress the clients,Persuade the clients to buy,B,"Offend the clients. Businesspeople should try to learn as much as they can about a client's culture,  customs, and social values. By understanding and being aware of cultural differences, businesspeople  can adapt their communication styles to make a positive impression on their clients, earn their clients'  trust, and persuade their clients to buy. Businesspeople who adapt their communication styles are aware  of actions that a particular client might view as hospitable, as well as behaviors that the client might find  offensive. Offensive behaviors can hinder the ability to build long-term relationships with international  clients.",false,
19,What is a factor that affects a business's selection of policies to guide its operations?,Nature of the business,Personal preferences of management,Communication skills of employees,Space available to display policies,A,"Nature of the business. A business's policies must be appropriate for the type of business. For example,  a policy that might be appropriate for an investment business might be inappropriate for a hardware  store. Not all business policies are written, and it would not be necessary to display them. The personal  preferences of management should not be a consideration. Employees who lack good communication  skills can receive training that will improve their skills in communicating policies to customers.",false,
20,Martha has been working with a customer on a printer purchase for the past 45 minutes. The customer  has looked at all of the printers several times and still is not sure which one to purchase. With what type  of customer is Martha working?,Disagreeable,Suspicious,Dishonest,Indecisive,D,"Indecisive. Martha is working with an indecisive customer because the customer is having great difficulty  making a choice or buying decision. A suspicious customer doubts or questions everything and may want  facts and proof before being convinced something is true. Dishonest customers intentionally attempt to  avoid paying part or all of the price for a product. A disagreeable customer is a client who is unpleasant  and hard to help because they are argumentative, complaining, irritable, moody, insulting, impatient,  and/or have a leave-me-alone attitude.",false,
21,"During the sale, touchpoints should be designed to",get the customer's attention.,show the customer what benefits the brand offers.,resolve any problems the customer has with the product.,reinforce that the customer is making the right buying decision.,D,"Reinforce that the customer is making the right buying decision. During the sale, touchpoints should be  designed to reinforce that the customer is making the right buying decision. By this point, presale  touchpoints should have gotten the customer's attention and shown the benefits the brand offers.  Resolving problems with the product is typically something that occurs after the sale.",false,
22,A transportation service makes sure that its trucks are well-maintained and driven with care. This is an  example of a way to,conserve the firm's capital goods.,retrain human resources.,renew natural resources.,increase the number of capital goods.,A,"Conserve the firm's capital goods. Capital goods are manufactured or constructed items that are used to  produce goods and services. Trucks that are taken care of will last longer. Adding more trucks would be  an example of increasing the number of capital goods. Natural resources are items that are found in  nature and used to produce goods and services. Human resources, or workers, are retrained to develop  new skills.",false,
23,The ultimate goal of all economic activity is,distribution.,production.,exchange.,consumption.,D,"Consumption. The ultimate goal of all economic activity is consumption, which is the economic process  or activity of using goods and services. For consumption to occur, goods and services must be produced,  or made. Producers, consumers, and resource owners exchange money payments for the use of their  goods, services, and resources. Distribution examines how money payments are divided between  producers and resource owners.",false,
24,"Whether prices go up or down, the relationship between relative prices does not change if the  __________ remains the same.",ratio,value,market,resource,A,"Ratio. A ratio is a fixed relation in number or degree between two similar things. Therefore, if the relative  price of two items is cut in half or doubles, the ratio would remain the same. Value is the amount of  satisfaction that a good or service will provide a customer. A market is any circumstance in which buyers  and sellers exchange goods or services for a price. A resource is any item that is used to produce goods  or services.",false,
25,One way in which many businesses demonstrate their social responsibility toward employees is by  providing them with,a stress-free atmosphere.,regular entertainment.,a safe working environment.,free meals.,C,A safe working environment. Most businesses feel this is one of their most important responsibilities  toward employees. Few businesses provide free meals or free entertainment on a regular basis. It is  impossible to provide a stress-free atmosphere.,false,
26,The freedom to compete is a characteristic of businesses that operate in a(n),independent society.,communist economy.,imperial political environment.,market economy.,D,"Market economy. A market (free enterprise) economy is an economic system in which individuals and  groups, rather than the government, own or control the means of production. A characteristic of a market  economy is that individuals and businesses can use their skills and other resources to compete with  other individuals and businesses for scarce consumer dollars. A communist command economy is a  command economic system in which the government controls the economic system and does not allow  private ownership of resources and production. Imperialism occurs when one territory or country takes  control, often by force, of the political and economic system of another territory or country. An  independent society is a group of people who may or may not be involved in business activities.",false,
27,The personnel office of a business carefully checks the background and references of its job applicants.  This is an example of handling business risks through,prevention.,retention.,avoidance.,transfer.,A,"Prevention. Careful screening of job applicants is one way that businesses attempt to prevent risk by  hiring only competent and trustworthy people. In this example, the risk of having incompetent or  dishonest employees is not transferred to another business or person, retained by doing nothing, or  avoided by not hiring employees at all.",false,
28,A new business opened across the street from Heinrich's. It is virtually identical to Heinrich's. What type  of competition is Heinrich's facing?,Price,Indirect,Strict,Direct,D,Direct. Direct competition is the rivalry between or among businesses that offer similar types of goods or  services. Price competition is a type of rivalry between or among businesses that focuses on the use of  price to attract scarce customer dollars. Indirect competition is a rivalry between or among businesses  which offer dissimilar goods or services. Strict competition is a distractor.,false,
29,"Achievement-oriented, emotionally intelligent people usually are",transparent.,prosperous.,motivated.,impatient.,C,"Motivated. Achievement-oriented, emotionally intelligent people are motivated. They have a strong desire  to succeed. They often set high standards for themselves so that whatever they do is evaluated in terms  of their goals. Achievement-oriented, emotionally intelligent people are not necessarily prosperous or  impatient. Transparent people are who they say they are and have nothing to hide.",false,
30,Mary has been an employee at the Acme Company for nine years and has been having trouble  motivating herself to complete tasks on time. Her supervisor feels she needs to develop her self-esteem  through affirmations. Why should Mary write and use affirmations?,To carry 3x5 index cards around with her for a week,To daydream about being a superstar in life,To develop a positive aspect of her life,To know the difference between self-esteem and affirmations,C,"To develop a positive aspect of her life. Affirmations are positive statements about present or desired  strengths. These are things that you want to accept, incorporate, or develop. Carrying around 3x5 index  cards for a week would be unproductive if Mary does not write positive affirmations relating to her  development of motivation on the job. To daydream about being a superstar in life does not advance  Mary's self-esteem. The difference between self-esteem and affirmations is that self-esteem is the way  people feel about themselves, and an affirmation is a positive statement, or statements, that assist in the  development or improvement of a person's self-esteem.",false,
31,An employee who is able to adjust to changing conditions possesses the desirable trait of,loyalty.,adaptability.,friendliness.,tact.,B,Adaptability. This is the ability to be flexible and to change with the times. Friendliness means to display  good feelings toward others. Loyalty means giving steady support. Tact is the ability to say the right thing  in all circumstances.,false,
32,Marisa believes that she possesses the skills to make a positive contribution to the work team. Marisa is  exhibiting,empathy.,ethical standards.,systematic behavior.,self-confidence.,D,"Self-confidence. Self-confidence is a positive belief in your own talents, skills, and objectives. Ethical  standards are the basic principles or unwritten rules that govern your behavior and help you recognize  right from wrong. Systematic behavior involves conducting activities in an organized, logical, and  methodical manner. Empathy is the ability to put yourself in another person's place.",false,
